Location,Date,Round,player,opponent,player_rank,opponent_rank,player_hand,player_ht,player_nationality,player_age,opponent_hand,opponent_ht,opponent_nationality,opponent_age,win
Antalya,06/30/2017,Semifinals,Baghdatis M.,Sugita Y.,79.0,66.0,R,183.0,CYP,33.6,R,173.0,JPN,31.0,0
Antalya,06/30/2017,Semifinals,Seppi A.,Mannarino A.,102.0,62.0,R,190.0,ITA,34.8,L,183.0,FRA,30.6,0
Antalya,07/01/2017,The Final,Mannarino A.,Sugita Y.,62.0,66.0,L,183.0,FRA,30.5,R,173.0,JPN,31.0,0
Eastbourne,06/26/2017,Round of 128,Schwartzman D.,Donaldson J.,37.0,65.0,R,170.0,ARG,26.3,R,188.0,USA,22.3,0
Eastbourne,06/26/2017,Round of 128,Edmund K.,Young D.,48.0,47.0,R,188.0,GBR,23.9,L,183.0,USA,35.0,0
Eastbourne,06/26/2017,Round of 128,Vesely J.,Pospisil V.,46.0,75.0,L,198.0,CZE,25.4,R,193.0,CAN,29.1,0
Eastbourne,06/26/2017,Round of 128,Bellucci T.,Anderson K.,53.0,45.0,L,188.0,BRA,37.0,R,203.0,RSA,32.6,0
Eastbourne,06/26/2017,Round of 128,Gombos N.,Tomic B.,90.0,60.0,R,193.0,SVK,28.9,R,193.0,AUS,26.3,0
Eastbourne,06/26/2017,Round of 128,Mahut N.,Haase R.,76.0,38.0,R,190.0,FRA,37.0,R,190.0,NED,31.7,0
Eastbourne,06/26/2017,Round of 128,Zeballos H.,Norrie C.,49.0,236.0,L,188.0,ARG,39.0,L,188.0,GBR,23.3,0
Eastbourne,06/28/2017,Round of 128,Chardy J.,Lajovic D.,70.0,78.0,R,188.0,FRA,31.8,R,180.0,SRB,28.5,0
Eastbourne,06/28/2017,Round of 128,Skugor F.,Fabbiano T.,304.0,95.0,R,193.0,CRO,31.3,R,173.0,ITA,29.6,0
Eastbourne,06/28/2017,Round of 128,Harrison R.,Zverev M.,41.0,30.0,R,183.0,USA,26.6,L,190.0,GER,31.5,0
Eastbourne,06/28/2017,Round of 128,Querrey S.,Medvedev D.,28.0,52.0,R,198.0,USA,31.2,R,198.0,RUS,22.8,0
Eastbourne,06/28/2017,Round of 128,Tiafoe F.,Gasquet R.,63.0,27.0,R,188.0,USA,20.9,R,185.0,FRA,32.8,0
Eastbourne,06/28/2017,Round of 64,Pospisil V.,Djokovic N.,75.0,4.0,R,193.0,CAN,29.0,R,188.0,SRB,31.6,0
Eastbourne,06/28/2017,Round of 64,Donaldson J.,Young D.,65.0,47.0,R,188.0,USA,22.3,L,183.0,USA,35.0,0
Eastbourne,06/29/2017,Round of 64,Haase R.,Medvedev D.,38.0,52.0,R,190.0,NED,31.7,R,198.0,RUS,22.8,0
Eastbourne,06/29/2017,Round of 64,Fabbiano T.,Johnson S.,95.0,31.0,R,173.0,ITA,29.6,R,188.0,USA,29.1,0
Eastbourne,06/29/2017,Round of 64,Lajovic D.,Isner J.,78.0,21.0,R,180.0,SRB,28.5,R,206.0,USA,33.7,0
Eastbourne,06/29/2017,Round of 64,Zverev M.,Tomic B.,30.0,60.0,L,190.0,GER,31.3,R,193.0,AUS,26.3,0
Eastbourne,06/29/2017,Round of 64,Norrie C.,Monfils G.,236.0,16.0,L,188.0,GBR,23.3,R,193.0,FRA,32.3,0
Eastbourne,06/29/2017,Round of 64,Anderson K.,Gasquet R.,45.0,27.0,R,203.0,RSA,32.6,R,185.0,FRA,32.8,0
Eastbourne,06/29/2017,Quarterfinals,Young D.,Djokovic N.,47.0,4.0,L,183.0,USA,29.6,R,188.0,SRB,31.6,0
Eastbourne,06/29/2017,Quarterfinals,Johnson S.,Medvedev D.,31.0,52.0,R,188.0,USA,29.0,R,198.0,RUS,22.8,0
Eastbourne,06/29/2017,Quarterfinals,Tomic B.,Monfils G.,60.0,16.0,R,193.0,AUS,26.2,R,193.0,FRA,32.3,0
Eastbourne,06/29/2017,Quarterfinals,Isner J.,Gasquet R.,21.0,27.0,R,206.0,USA,33.7,R,185.0,FRA,32.8,0
Eastbourne,06/30/2017,Semifinals,Medvedev D.,Djokovic N.,52.0,4.0,R,198.0,RUS,22.8,R,188.0,SRB,31.6,0
Eastbourne,06/30/2017,Semifinals,Gasquet R.,Monfils G.,27.0,16.0,R,185.0,FRA,32.8,R,193.0,FRA,32.3,0
Eastbourne,07/01/2017,The Final,Monfils G.,Djokovic N.,16.0,4.0,R,193.0,FRA,32.3,R,188.0,SRB,31.6,0
