Round,player,opponent,player_hand,player_ht,player_age,opponent_hand,opponent_ht,opponent_age,win,player_rank,opponent_rank,is_player_home_country,is_opponent_home_country,year,month,day,dayofweek
Round of 128,Ferrer D.,Jasika O.,R,175.0,36.7,L,183.0,27.0,1,21.0,290.0,False,False,2017,1,17,1
Round of 128,Monfils G.,Vesely J.,R,193.0,32.3,L,198.0,25.4,1,6.0,46.0,False,False,2017,1,17,1
Round of 128,Fognini F.,Lopez F.,R,178.0,31.6,L,188.0,37.3,1,9.0,25.0,False,False,2017,1,17,1
Round of 128,Dimitrov G.,O'Connell C.,R,188.0,27.6,R,183.0,30.0,1,3.0,231.0,False,False,2017,1,17,1
Round of 128,Djokovic N.,Verdasco F.,R,188.0,31.6,L,188.0,35.1,1,1.0,26.0,False,False,2017,1,17,1
Round of 128,Istomin D.,Dodig I.,R,188.0,32.4,R,183.0,39.0,1,57.0,170.0,False,False,2017,1,17,1
Round of 64,Nishikori K.,Chardy J.,R,178.0,29.0,R,188.0,31.8,1,4.0,35.0,False,False,2017,1,18,2
Round of 64,Jaziri M.,Bublik A.,R,185.0,34.9,R,196.0,21.7,1,42.0,47.0,False,False,2017,1,18,2
Round of 64,Lacko L.,Sela D.,R,185.0,31.2,R,175.0,34.4,1,71.0,67.0,False,False,2017,1,18,2
Round of 64,Zverev M.,Isner J.,L,190.0,31.5,R,206.0,33.7,1,26.0,9.0,False,True,2017,1,18,2
Round of 64,Berdych T.,Harrison R.,R,196.0,33.2,R,183.0,26.6,1,10.0,40.0,False,True,2017,1,18,2
Round of 64,Wawrinka S.,Johnson S.,R,183.0,33.7,R,188.0,29.0,1,3.0,25.0,False,True,2017,1,18,2
Round of 64,Troicki V.,Lorenzi P.,R,193.0,32.9,R,183.0,37.0,1,29.0,33.0,False,False,2017,1,18,2
Round of 64,Federer R.,Rubin N.,R,185.0,37.4,R,175.0,22.9,1,1.0,135.0,False,True,2017,1,18,2
Round of 64,Darcis S.,Schwartzman D.,R,178.0,34.8,R,170.0,26.3,1,38.0,9.0,False,False,2017,1,18,2
Round of 64,Seppi A.,Kyrgios N.,R,190.0,34.8,R,193.0,23.6,1,35.0,13.0,False,False,2017,1,18,2
Round of 64,Evans D.,Cilic M.,R,175.0,28.6,R,198.0,30.2,1,28.0,3.0,False,False,2017,1,18,2
